id,title,location and city,start_datetime,end_datetime,mode,price,description,city,mode_clean,price_type,embed_text,url
10,Recurring Event,"Symlink Technologies LLP, Kolkata",Not specified,Not specified,In-person,Paid (from $12.16),"In-person recurring event organized by ART ORGANIZER, held on multiple dates at Symlink Technologies LLP, offering various sessions with standard refund policy",Kolkata,in_person,paid,"recurring event in-person recurring event organized by art organizer, held on multiple dates at symlink technologies llp, offering various sessions with standard refund policy kolkata in_person paid",https://www.eventbrite.com/e/recurring-event-tickets-1490360330869?aff=ebdssbdestsearch
11,Leveraging Robotics for Success | Bengaluru,"Live Online Workshop, Bengaluru",Not specified,Not specified,Online,Paid (from $499.00),"Workshop exploring robotics fundamentals, real-world applications, and strategic implementation to drive innovation, efficiency, and productivity across industries, featuring practical insights and case studies",Bengaluru,online,paid,"leveraging robotics for success | bengaluru workshop exploring robotics fundamentals, real-world applications, and strategic implementation to drive innovation, efficiency, and productivity across industries, featuring practical insights and case studies bengaluru online paid",https://www.eventbrite.com.au/e/leveraging-robotics-for-success-bangaluru-tickets-1052207951307?aff=ebdssbdestsearch
12,Hyderabad's Biggest Business & Tech Professional Networking Soiree,"Taj Krishna, Hyderabad",2026-03-18T18:00:00+05:30,2026-03-18T21:00:00+05:30,In-person,Free / Paid ($0–$12.51),"Large-scale networking event for entrepreneurs, startups, tech professionals, and freelancers focused on collaboration, partnerships, and community building in Hyderabad",Hyderabad,in_person,mixed,"hyderabad's biggest business & tech professional networking soiree large-scale networking event for entrepreneurs, startups, tech professionals, and freelancers focused on collaboration, partnerships, and community building in hyderabad hyderabad in_person mixed",https://www.eventbrite.com/e/hyderabads-biggest-business-tech-professional-networking-soiree-tickets-1263665059209?aff=ebdssbdestsearch
13,"GCP, AWS, AZURE Data Engineering","Quality Thought, Hyderabad",2026-01-20T10:00:00+05:30,2026-01-20T12:00:00+05:30,In-person,Free,"Technical seminar focused on cloud data engineering using GCP, AWS, and Azure, designed for beginners and professionals to gain practical insights and industry knowledge",Hyderabad,in_person,free,"gcp, aws, azure data engineering technical seminar focused on cloud data engineering using gcp, aws, and azure, designed for beginners and professionals to gain practical insights and industry knowledge hyderabad in_person free",https://www.eventbrite.com/e/gcp-aws-azure-data-engineering-13-dec-2025-tickets-1977613821175?aff=ebdssbdestsearch
14,IPCA Electronics Expo India 2026,"Bharat Mandapam, New Delhi",2026-07-29T10:00:00+05:30,2026-07-31T18:00:00+05:30,In-person,Free,"India’s premier electronics and PCB manufacturing expo uniting fabrication, assembly, design, testing, and certification professionals with live demos, technology showcases, and global collaboration opportunities",New Delhi,in_person,free,"ipca electronics expo india 2026 india’s premier electronics and pcb manufacturing expo uniting fabrication, assembly, design, testing, and certification professionals with live demos, technology showcases, and global collaboration opportunities new delhi in_person free",https://www.eventbrite.com/e/ipca-electronics-expo-india-2026-tickets-1969108043164?aff=ebdssbdestsearch
15,Generative AI for Society and Workplace | Delhi,"Online Event, Delhi",Not specified,Not specified,Online,Paid (from $499.00),"Workshop focused on Generative AI applications in society and workplaces, covering practical use cases, automation strategies, ethical considerations, and leadership skills for AI-driven innovation",Delhi,online,paid,"generative ai for society and workplace | delhi workshop focused on generative ai applications in society and workplaces, covering practical use cases, automation strategies, ethical considerations, and leadership skills for ai-driven innovation delhi online paid",https://www.eventbrite.com.au/e/generative-ai-for-society-and-workplace-delhi-tickets-1147816924319?aff=ebdssbdestsearch
16,Cyber Security Course,"Quality Thought, Hyderabad",2026-02-06T10:00:00+05:30,2026-02-06T12:00:00+05:30,In-person,Free,"Hands-on cybersecurity course focused on digital defense, online threat protection, and practical skills to enhance cybersecurity knowledge for students and professionals",Hyderabad,in_person,free,"cyber security course hands-on cybersecurity course focused on digital defense, online threat protection, and practical skills to enhance cybersecurity knowledge for students and professionals hyderabad in_person free",https://www.eventbrite.com/e/cyber-security-course-tickets-1979154810315?aff=ebdssbdestsearch
17,SFE India Event: what Curtain Wall System to use and where to use them,"Hilton Mumbai International Airport, Mumbai",2026-01-30T18:30:00+05:30,2026-01-30T22:00:00+05:30,In-person,Free,"Professional technical event by the Society of Façade Engineering focusing on curtain wall systems, façade engineering best practices, and building envelope performance, featuring expert talks and industry discussion",Mumbai,in_person,free,"sfe india event: what curtain wall system to use and where to use them professional technical event by the society of façade engineering focusing on curtain wall systems, façade engineering best practices, and building envelope performance, featuring expert talks and industry discussion mumbai in_person free",https://www.eventbrite.co.uk/e/sfe-india-event-what-curtain-wall-system-to-use-and-where-to-use-them-tickets-1980071710789?aff=ebdssbdestsearch
18,Everythingaboutwater International Conclave 2026 - Chennai,"Chennai Trade Centre, Chennai",2026-01-22T10:00:00+05:30,2026-01-22T14:00:00+05:30,In-person,Paid (from $73.93),"International conclave bringing together industry leaders, innovators, policymakers, and end users to explore cutting-edge technologies, sustainable solutions, and business opportunities shaping India’s water sector, with focus on water purification and treatment innovations",Chennai,in_person,paid,"everythingaboutwater international conclave 2026 - chennai international conclave bringing together industry leaders, innovators, policymakers, and end users to explore cutting-edge technologies, sustainable solutions, and business opportunities shaping india’s water sector, with focus on water purification and treatment innovations chennai in_person paid",https://www.eventbrite.com/e/everythingaboutwater-international-conclave-2026-chennai-tickets-1975093938137?aff=ebdssbdestsearch
19,Algorythm+/How to Leverage AI (for Absolute Beginners),"Mumbai, Mumbai",2026-01-29T19:00:00+05:30,2026-01-29T21:00:00+05:30,In-person,Paid ($73.88–$361),"Beginner-friendly lecture demystifying artificial intelligence concepts, covering ANI, AGI, and ASI, practical AI literacy for non-technical professionals, real-world applications, and ethical considerations to become future-ready",Mumbai,in_person,paid,"algorythm+/how to leverage ai (for absolute beginners) beginner-friendly lecture demystifying artificial intelligence concepts, covering ani, agi, and asi, practical ai literacy for non-technical professionals, real-world applications, and ethical considerations to become future-ready mumbai in_person paid",https://www.eventbrite.com/e/algorythmhow-to-leverage-ai-for-absolute-beginners-tickets-1977174641577?aff=ebdssbdestsearch
20,Bharat Print Expo 2026,"Chennai Trade Centre, Chennai",2026-04-27T10:00:00+05:30,2026-04-29T18:00:00+05:30,In-person,Free,"Major print industry exhibition showcasing the latest printing technologies, innovations, and design trends, offering networking and learning opportunities for professionals and enthusiasts",Chennai,in_person,free,"bharat print expo 2026 major print industry exhibition showcasing the latest printing technologies, innovations, and design trends, offering networking and learning opportunities for professionals and enthusiasts chennai in_person free",https://www.eventbrite.com/e/bharat-print-expo-2026-tickets-1362558411889?aff=ebdssbdestsearch
21,Why Devs Should Care About Cloud Cost | Hands-On Workshop in Delhi NCR,"HQ27 The Headquarters, Gurugram",2026-01-31T12:00:00+05:30,2026-01-31T15:00:00+05:30,In-person,Free,"Hands-on DevOps workshop focused on cloud cost optimization, Kubernetes usage insights, preventing cost spikes, integrating cost data into CI/CD workflows, and practical strategies to manage cloud spend effectively with live demos and networking",Gurugram,in_person,free,"why devs should care about cloud cost | hands-on workshop in delhi ncr hands-on devops workshop focused on cloud cost optimization, kubernetes usage insights, preventing cost spikes, integrating cost data into ci/cd workflows, and practical strategies to manage cloud spend effectively with live demos and networking gurugram in_person free",https://www.eventbrite.com/e/why-devs-should-care-about-cloud-cost-hands-on-workshop-in-delhi-ncr-tickets-1980391473207?aff=ebdssbdestsearch
22,Harnessing AI for Marketing Innovation | Bangalore,"Live Online Workshop, Bengaluru",Not specified,Not specified,Online,Paid (from $499.00),"Workshop focused on applying artificial intelligence to marketing, covering automation, personalization, customer targeting, analytics, and real-world case studies to improve campaign performance and ROI",Bengaluru,online,paid,"harnessing ai for marketing innovation | bangalore workshop focused on applying artificial intelligence to marketing, covering automation, personalization, customer targeting, analytics, and real-world case studies to improve campaign performance and roi bengaluru online paid",https://www.eventbrite.com.au/e/harnessing-ai-for-marketing-innovation-bangalore-tickets-1052207810887?aff=ebdssbdestsearch
23,Cyber Security Training In Hyderabad | Version IT,"Version IT, Hyderabad",2026-01-29T10:00:00+05:30,2026-01-29T12:00:00+05:30,In-person,Free,Hands-on cybersecurity training session offering practical labs and real-world scenarios to help participants strengthen digital security skills and advance their careers,Hyderabad,in_person,free,cyber security training in hyderabad | version it hands-on cybersecurity training session offering practical labs and real-world scenarios to help participants strengthen digital security skills and advance their careers hyderabad in_person free,https://www.eventbrite.com/e/cyber-security-training-in-hyderabad-version-it-tickets-1978712049004?aff=ebdssbdestsearch
24,Eduverse Summit India 2026,"India International Centre, New Delhi",2026-02-04T09:00:00+05:30,2026-02-04T21:00:00+05:30,In-person,"Free / Paid ($0–$5,500)","Global higher education summit bringing together governments, universities, EdTech leaders, and policy experts to discuss innovation, collaboration, and the future of learning across continents",New Delhi,in_person,mixed,"eduverse summit india 2026 global higher education summit bringing together governments, universities, edtech leaders, and policy experts to discuss innovation, collaboration, and the future of learning across continents new delhi in_person mixed",https://www.eventbrite.com/e/eduverse-summit-india-2026-tickets-1736618716329?aff=ebdssbdestsearch
25,IFEX 2026,"Bombay Exhibition Centre, Mumbai",2026-02-12T10:00:00+05:30,2026-02-12T18:00:00+05:30,In-person,Free,"B2B international trade exhibition showcasing foundry technology, equipment, supplies, and casting capabilities, bringing together Indian and global companies to explore innovations and business opportunities in the foundry industry",Mumbai,in_person,free,"ifex 2026 b2b international trade exhibition showcasing foundry technology, equipment, supplies, and casting capabilities, bringing together indian and global companies to explore innovations and business opportunities in the foundry industry mumbai in_person free",https://www.eventbrite.co.uk/e/ifex-2026-tickets-1979106181866?aff=ebdssbdestsearch
26,India Tech Summit,"Location TBA, New Delhi",2026-07-22T10:00:00+05:30,2026-07-22T13:00:00+05:30,In-person,Free / Paid ($0–$107.72),"International tech and startup summit featuring global speakers and partners focused on innovation, entrepreneurship, and the future of India’s technology ecosystem",New Delhi,in_person,mixed,"india tech summit international tech and startup summit featuring global speakers and partners focused on innovation, entrepreneurship, and the future of india’s technology ecosystem new delhi in_person mixed",https://www.eventbrite.com/e/india-tech-summit-tickets-97765875365?aff=ebdssbdestsearch
27,India Energy Week 2026,"Panjim Convention Centre, Panaji",2026-01-27T01:00:00+05:30,2026-01-27T01:30:00+05:30,In-person,Free,"Major energy exhibition and conference bringing together global leaders from oil, gas, and renewable energy sectors to discuss sustainability, innovation, and future energy technologies in India",Panaji,in_person,free,"india energy week 2026 major energy exhibition and conference bringing together global leaders from oil, gas, and renewable energy sectors to discuss sustainability, innovation, and future energy technologies in india panaji in_person free",https://www.eventbrite.com/e/india-energy-week-2026-tickets-1970285854028?aff=ebdssbdestsearch
28,Vaccines World Summit 2026 (Solution Provider),"Hyatt Regency Pune & Residences, Pune",2026-02-10T08:00:00+05:30,2026-02-11T18:00:00+05:30,In-person,Paid (from $411.27),"International summit bringing together vaccine experts, researchers, regulators, policymakers, and industry leaders to address challenges in vaccine development, manufacturing, distribution, and global immunization with focus on innovation and equity",Pune,in_person,paid,"vaccines world summit 2026 (solution provider) international summit bringing together vaccine experts, researchers, regulators, policymakers, and industry leaders to address challenges in vaccine development, manufacturing, distribution, and global immunization with focus on innovation and equity pune in_person paid",https://www.eventbrite.sg/e/vaccines-world-summit-2026-solution-provider-tickets-1569269981759?aff=ebdssbdestsearch
29,International Net Zero Summit 2026 Awards,"Vivanta Goa, Panaji",Not specified,Not specified,In-person,"Paid (from $19,209.16)","International summit and awards program featuring panel discussions, workshops, and certification focused on designing and scaling credible Net Zero strategies, ESG compliance, carbon accounting, finance, and sustainability leadership across industries",Panaji,in_person,paid,"international net zero summit 2026 awards international summit and awards program featuring panel discussions, workshops, and certification focused on designing and scaling credible net zero strategies, esg compliance, carbon accounting, finance, and sustainability leadership across industries panaji in_person paid",https://www.eventbrite.com/e/international-net-zero-summit-2026-awards-tickets-1978384430087?aff=ebdssbdestsearch
30,Smart Irrigation Market Estimated to Experience a Hike in Growth by 2035,"Sahibzada Ajit Singh Nagar, Punjab",2026-02-13T10:00:00+05:30,2026-02-13T12:00:00+05:30,In-person,Free,"In-person seminar exploring growth projections, market trends, and technological innovations in smart irrigation, highlighting opportunities in smart agriculture and future-ready irrigation solutions",Mohali,in_person,free,"smart irrigation market estimated to experience a hike in growth by 2035 in-person seminar exploring growth projections, market trends, and technological innovations in smart irrigation, highlighting opportunities in smart agriculture and future-ready irrigation solutions mohali in_person free",https://www.eventbrite.com/e/smart-irrigation-market-estimated-to-experience-a-hike-in-growth-by-2035-tickets-1397890099919?aff=ebdssbdestsearch
31,Fintech Talks Vol 1 Presented by Tolken,"T-Hub, Hyderabad",2026-01-23T18:00:00+05:30,2026-01-23T21:00:00+05:30,In-person,Free,"Interactive fintech networking and workshop-style event bringing together founders, developers, and finance enthusiasts to discuss cross-border payments, real-world fintech challenges, and startup ideas in a collaborative setting",Hyderabad,in_person,free,"fintech talks vol 1 presented by tolken interactive fintech networking and workshop-style event bringing together founders, developers, and finance enthusiasts to discuss cross-border payments, real-world fintech challenges, and startup ideas in a collaborative setting hyderabad in_person free",https://www.eventbrite.com/e/fintech-talks-vol-1-presented-by-tolken-tickets-1980403616528?aff=ebdssbdestsearch
32,Virtual Career Fair | Job Fair 2026 | Land Remote AI & Tech Jobs,"Online Event, Bengaluru",Not specified,Not specified,Online,Free / Paid (€0.00+),"Virtual hiring and career fair connecting sales, marketing, AI, and tech professionals with startups and companies through 1-on-1 interviews for remote and global job opportunities",Bengaluru,online,mixed,"virtual career fair | job fair 2026 | land remote ai & tech jobs virtual hiring and career fair connecting sales, marketing, ai, and tech professionals with startups and companies through 1-on-1 interviews for remote and global job opportunities bengaluru online mixed",https://www.eventbrite.co.uk/e/virtual-career-fair-job-fair-2026-land-remote-ai-tech-jobs-tickets-1980323223069?aff=ebdssbdestsearch
33,Virtual Career Fair | Job Fair 2026 | Startup Matchmaking,"Online Event, Mumbai",Not specified,Not specified,Online,Free / Paid (€0.00+),"Virtual career and startup matchmaking fair connecting sales, marketing, AI, and tech professionals with startups and companies through scheduled 1-on-1 interviews for remote and global opportunities",Mumbai,online,mixed,"virtual career fair | job fair 2026 | startup matchmaking virtual career and startup matchmaking fair connecting sales, marketing, ai, and tech professionals with startups and companies through scheduled 1-on-1 interviews for remote and global opportunities mumbai online mixed",https://www.eventbrite.co.uk/e/virtual-career-fair-job-fair-2026-startup-matchmaking-tickets-1980322068616?aff=ebdssbdestsearch
34,19th edition - India Drilling & Exploration Conference (IDEC) 2026,"The Lalit Mumbai, Mumbai",Not specified,Not specified,In-person,Free,"Industry conference focused on drilling, exploration, and production technologies in the oil and gas sector, featuring technical sessions, keynote talks, technology demonstrations, and networking to address energy security, innovation, and sustainable practices",Mumbai,in_person,free,"19th edition - india drilling & exploration conference (idec) 2026 industry conference focused on drilling, exploration, and production technologies in the oil and gas sector, featuring technical sessions, keynote talks, technology demonstrations, and networking to address energy security, innovation, and sustainable practices mumbai in_person free",https://www.eventbrite.com/e/19th-edition-india-drilling-exploration-conference-idec-2026-tickets-1978823627739?aff=ebdssbdestsearch
35,Test Automation Summit | Bangalore | 2026,"Location TBA, Bengaluru",2026-02-19T09:00:00+05:30,2026-02-19T17:00:00+05:30,In-person,Free,"Industry-focused summit bringing together software testing and QA professionals to share best practices, real-world case studies, emerging trends, and tools in test automation and quality engineering",Bengaluru,in_person,free,"test automation summit | bangalore | 2026 industry-focused summit bringing together software testing and qa professionals to share best practices, real-world case studies, emerging trends, and tools in test automation and quality engineering bengaluru in_person free",https://www.eventbrite.com/e/test-automation-summit-bangalore-2026-tickets-1963091760300?aff=ebdssbdestsearch
36,Pamex 2026,"Nesco Exhibition Centre, Mumbai",2026-01-27T10:00:00+05:30,2026-01-30T18:00:00+05:30,In-person,Free,"India’s leading printing and packaging exhibition showcasing advanced technologies across print, label, packaging, paper converting, textile printing, and signage industries, with focus on innovation and sustainability",Mumbai,in_person,free,"pamex 2026 india’s leading printing and packaging exhibition showcasing advanced technologies across print, label, packaging, paper converting, textile printing, and signage industries, with focus on innovation and sustainability mumbai in_person free",https://www.eventbrite.com/e/pamex-2026-tickets-850680015827?aff=ebdssbdestsearch
37,D-arc BUILD Mumbai 2026,"NESCO, Mumbai",2026-04-17T10:00:00+05:30,2026-04-19T18:00:00+05:30,In-person,Free,"India’s premier exhibition for architecture, design, engineering, building, and construction materials, featuring product showcases, conferences, workshops, and networking opportunities for construction industry professionals",Mumbai,in_person,free,"d-arc build mumbai 2026 india’s premier exhibition for architecture, design, engineering, building, and construction materials, featuring product showcases, conferences, workshops, and networking opportunities for construction industry professionals mumbai in_person free",https://www.eventbrite.com/e/d-arc-build-mumbai-2026-tickets-1354797508819?aff=ebdssbdestsearch
38,Women in Tech Pune - OutGeekWomen,"Location TBA, Pune",2026-05-14T18:00:00+05:30,2026-05-14T20:30:00+05:30,In-person,Free / Paid ($0–$50),"Networking and hiring-focused event bringing together mid- and senior-level women in tech, CTOs, hiring teams, and tech professionals to connect, share insights, attend pitches, and explore career opportunities in the tech industry",Pune,in_person,mixed,"women in tech pune - outgeekwomen networking and hiring-focused event bringing together mid- and senior-level women in tech, ctos, hiring teams, and tech professionals to connect, share insights, attend pitches, and explore career opportunities in the tech industry pune in_person mixed",https://www.eventbrite.com/e/women-in-tech-pune-outgeekwomen-tickets-1330285362329?aff=ebdssbdestsearch
39,Empowering Modern HR Teams with AI | Delhi,"Online Event, Delhi",Not specified,Not specified,Online,Paid (from $499.00),"Practical workshop for HR professionals focusing on responsible use of AI in recruitment, people insights, and HR operations, covering real-world use cases, automation, decision support, and ethical adoption of AI in modern HR teams",Delhi,online,paid,"empowering modern hr teams with ai | delhi practical workshop for hr professionals focusing on responsible use of ai in recruitment, people insights, and hr operations, covering real-world use cases, automation, decision support, and ethical adoption of ai in modern hr teams delhi online paid",https://www.eventbrite.com.au/e/empowering-modern-hr-teams-with-ai-delhi-tickets-1980357565789?aff=ebdssbdestsearch
40,STRT UP CONNECTOR,"Vijaya Block, Lakshmi Nagar, New Delhi",2026-03-24T10:00:00+05:30,2026-03-24T17:00:00+05:30,In-person,Paid (£19.52),"Startup networking event bringing together entrepreneurs, investors, and innovators for panel discussions, workshops, and collaboration opportunities aimed at scaling startups and building meaningful business connections",New Delhi,in_person,paid,"strt up connector startup networking event bringing together entrepreneurs, investors, and innovators for panel discussions, workshops, and collaboration opportunities aimed at scaling startups and building meaningful business connections new delhi in_person paid",https://www.eventbrite.com/e/strt-up-connector-tickets-1317678073589?aff=ebdssbdestsearch
41,VanGuard- Elevating QE through AI Innovations,"TestVagrant Technologies Pvt Ltd, Bengaluru",2026-01-31T10:00:00+05:30,2026-01-31T17:00:00+05:30,In-person,Free,"In-person tech event exploring how artificial intelligence is transforming Quality Engineering, focusing on smarter testing, automation, and emerging AI-driven QE innovations through talks and hands-on learning",Bengaluru,in_person,free,"vanguard- elevating qe through ai innovations in-person tech event exploring how artificial intelligence is transforming quality engineering, focusing on smarter testing, automation, and emerging ai-driven qe innovations through talks and hands-on learning bengaluru in_person free",https://www.eventbrite.com/e/vanguard-elevating-qe-through-ai-innovations-tickets-1979853834114?aff=ebdssbdestsearch
42,Vaccines World Summit 2026 (End Users - APAC),"Hyatt Regency Pune & Residences, Pune",2026-02-10T08:00:00+05:30,2026-02-11T18:00:00+05:30,In-person,Paid (from $411.27),"International summit for vaccine end users in the APAC region, bringing together experts, researchers, regulators, policymakers, and industry leaders to address challenges in vaccine development, manufacturing, distribution, and equitable global immunization",Pune,in_person,paid,"vaccines world summit 2026 (end users - apac) international summit for vaccine end users in the apac region, bringing together experts, researchers, regulators, policymakers, and industry leaders to address challenges in vaccine development, manufacturing, distribution, and equitable global immunization pune in_person paid",https://www.eventbrite.sg/e/vaccines-world-summit-2026-end-users-apac-tickets-1569357373149?aff=ebdssbdestsearch
43,"Bangalore's Big Business, Tech & Entrepreneur Professional Networking Event","JW Marriott Hotel Bengaluru, Bengaluru",2026-03-17T18:00:00+05:30,2026-03-17T20:00:00+05:30,In-person,Free / Paid ($0–$12.51),"Large-scale professional networking event for entrepreneurs, startups, business and tech professionals to connect, collaborate, find co-founders or partners, and build meaningful business relationships in Bangalore",Bengaluru,in_person,mixed,"bangalore's big business, tech & entrepreneur professional networking event large-scale professional networking event for entrepreneurs, startups, business and tech professionals to connect, collaborate, find co-founders or partners, and build meaningful business relationships in bangalore bengaluru in_person mixed",https://www.eventbrite.com/e/bangalores-big-business-tech-entrepreneur-professional-networking-event-tickets-1260409040369?aff=ebdssbdestsearch
44,Artist Walkthrough,"Central Park, Jaipur",2026-01-27T11:00:00+05:30,2026-01-27T12:30:00+05:30,In-person,Free,"Guided walkthrough of three site-responsive art installations exploring technology, ritual, materiality, and collective memory through contemporary public art practices",Jaipur,in_person,free,"artist walkthrough guided walkthrough of three site-responsive art installations exploring technology, ritual, materiality, and collective memory through contemporary public art practices jaipur in_person free",https://www.eventbrite.com/e/artist-walkthrough-tickets-1980074419892?aff=ebdssbdestsearch
45,The Design Exchange Summit 2026,"Fairfield by Marriott Mumbai International Airport, Mumbai",2026-01-24T08:30:00+05:30,2026-01-24T18:00:00+05:30,In-person,Paid (from $24.60),"High-ticket B2B design and networking summit bringing together real estate developers, architects, interior designers, consultants, investors, and industry leaders to connect, collaborate, and explore how design drives commercial value",Mumbai,in_person,paid,"the design exchange summit 2026 high-ticket b2b design and networking summit bringing together real estate developers, architects, interior designers, consultants, investors, and industry leaders to connect, collaborate, and explore how design drives commercial value mumbai in_person paid",https://www.eventbrite.com/e/the-design-exchange-summit-2026-tickets-1980369573705?aff=ebdssbdestsearch
